fips,mean_internet_access,mFIPS,district,locality,ed,population,objectid
41202302,NA,4202302,4,12,2302,290,151
41202303,NA,4202303,4,12,2303,601,191
41202305,NA,4202305,4,12,2305,2540,223
41202307,NA,4202307,4,12,2307,427,215
41202309,NA,4202309,4,12,2309,483,216
41202313,NA,4202313,4,12,2313,28,182
41202315,NA,4202315,4,12,2315,426,207
41202318,NA,4202318,4,12,2318,562,165
41202815,NA,4202815,4,12,2815,727,189
41202816,NA,4202816,4,12,2816,381,194
41202817,NA,4202817,4,12,2817,315,198
41203303,NA,4203303,4,12,3303,302,192
41203309,NA,4203309,4,12,3309,525,174
41203313,NA,4203313,4,12,3313,567,169
41203315,NA,4203315,4,12,3315,392,208
41203318,NA,4203318,4,12,3318,212,211
41203815,NA,4203815,4,12,3815,304,204
41203816,NA,4203816,4,12,3816,489,167
41203817,NA,4203817,4,12,3817,389,196
41204303,NA,4204303,4,12,4303,66,158
41204313,NA,4204313,4,12,4313,357,180
41204315,NA,4204315,4,12,4315,140,178
41204318,NA,4204318,4,12,4318,352,210
41204815,NA,4204815,4,12,4815,224,203
41204816,NA,4204816,4,12,4816,286,193
41205318,NA,4205318,4,12,5318,24,209
41205815,NA,4205815,4,12,5815,361,177
41205816,NA,4205816,4,12,5816,530,175
41206815,NA,4206815,4,12,6815,390,205
41206816,NA,4206816,4,12,6816,482,199
41207816,NA,4207816,4,12,7816,60,154
41208816,NA,4208816,4,12,8816,320,185
41209816,NA,4209816,4,12,9816,173,188
41210816,NA,4210816,4,12,10816,53,187
41211816,NA,4211816,4,12,11816,113,186
41212816,NA,4212816,4,12,12816,339,220
51000101,NA,5100101,5,10,101,250,135
51000102,NA,5100102,5,10,102,499,132
51000103,NA,5100103,5,10,103,183,131
51000104,NA,5100104,5,10,104,272,130
51000105,NA,5100105,5,10,105,584,141
51000106,NA,5100106,5,10,106,525,129
51000107,NA,5100107,5,10,107,544,144
51000108,NA,5100108,5,10,108,1327,146
51000109,NA,5100109,5,10,109,40,137
51000601,NA,5100601,5,10,601,405,134
51000602,NA,5100602,5,10,602,260,138
51000603,NA,5100603,5,10,603,336,139
51000604,NA,5100604,5,10,604,374,140
51000801,NA,5100801,5,10,801,371,133
51001105,NA,5101105,5,10,1105,433,147
51001106,NA,5101106,5,10,1106,378,143
51001107,NA,5101107,5,10,1107,356,145
51001108,NA,5101108,5,10,1108,316,142
51002105,NA,5102105,5,10,2105,600,136
51002108,NA,5102108,5,10,2108,300,128
51200201,NA,5200201,5,12,201,67,2
51200202,NA,5200202,5,12,202,32,92
51200203,NA,5200203,5,12,203,161,93
51200204,NA,5200204,5,12,204,506,121
51200205,NA,5200205,5,12,205,365,96
51200206,NA,5200206,5,12,206,285,83
51200207,NA,5200207,5,12,207,236,100
51200208,NA,5200208,5,12,208,658,105
51200209,NA,5200209,5,12,209,308,122
51200210,NA,5200210,5,12,210,636,86
51200211,NA,5200211,5,12,211,297,90
51200254,NA,5200254,5,12,254,254,82
51200702,NA,5200702,5,12,702,510,120
51200710,NA,5200710,5,12,710,595,88
51200752,NA,5200752,5,12,752,700,117
51201202,NA,5201202,5,12,1202,592,79
51201204,NA,5201204,5,12,1204,281,81
51201205,NA,5201205,5,12,1205,434,91
51201206,NA,5201206,5,12,1206,242,97
51201207,NA,5201207,5,12,1207,37,101
51201208,NA,5201208,5,12,1208,361,106
51201209,NA,5201209,5,12,1209,96,123
51201210,NA,5201210,5,12,1210,826,95
51201211,NA,5201211,5,12,1211,362,118
51201254,NA,5201254,5,12,1254,338,98
51201702,NA,5201702,5,12,1702,167,94
51201710,NA,5201710,5,12,1710,394,110
51201752,NA,5201752,5,12,1752,219,119
51202202,NA,5202202,5,12,2202,435,116
51202205,NA,5202205,5,12,2205,291,113
51202207,NA,5202207,5,12,2207,44,102
51202208,NA,5202208,5,12,2208,237,104
51202209,NA,5202209,5,12,2209,313,124
51202210,NA,5202210,5,12,2210,351,87
51202211,NA,5202211,5,12,2211,528,112
51202254,NA,5202254,5,12,2254,824,99
51202710,NA,5202710,5,12,2710,321,111
51202752,NA,5202752,5,12,2752,230,80
51203202,NA,5203202,5,12,3202,206,114
51203207,NA,5203207,5,12,3207,166,103
51203209,NA,5203209,5,12,3209,243,85
51203210,NA,5203210,5,12,3210,376,109
51203710,NA,5203710,5,12,3710,763,89
51204202,NA,5204202,5,12,4202,656,115
51204207,NA,5204207,5,12,4207,1213,84
51204210,NA,5204210,5,12,4210,848,108
51204710,NA,5204710,5,12,4710,1150,125
51205210,NA,5205210,5,12,5210,441,107
61100101,NA,6100101,6,11,101,320,65
61100102,NA,6100102,6,11,102,374,66
61100103,NA,6100103,6,11,103,139,75
61100104,NA,6100104,6,11,104,624,73
61100105,NA,6100105,6,11,105,199,77
